Date,Licenses_Issued,Day_of_Week,Month
2023-01-01,9,Sun,Jan
2023-01-02,12,Mon,Jan
2023-01-03,14,Tue,Jan
2023-01-04,8,Wed,Jan
2023-01-05,6,Thu,Jan
2023-01-06,9,Fri,Jan
2023-01-07,11,Sat,Jan
2023-01-08,10,Sun,Jan
2023-01-09,11,Mon,Jan
2023-01-10,8,Tue,Jan
2023-01-11,7,Wed,Jan
2023-01-12,8,Thu,Jan
2023-01-13,11,Fri,Jan
2023-01-14,9,Sat,Jan
2023-01-15,10,Sun,Jan
2023-01-16,8,Mon,Jan
2023-01-17,8,Tue,Jan
2023-01-18,10,Wed,Jan
2023-01-19,6,Thu,Jan
2023-01-20,9,Fri,Jan
2023-01-21,10,Sat,Jan
2023-01-22,6,Sun,Jan
2023-01-23,10,Mon,Jan
2023-01-24,9,Tue,Jan
2023-01-25,14,Wed,Jan
2023-01-26,9,Thu,Jan
2023-01-27,9,Fri,Jan
2023-01-28,8,Sat,Jan
2023-01-29,7,Sun,Jan
2023-01-30,13,Mon,Jan
2023-01-31,12,Tue,Jan
2023-02-01,9,Wed,Feb
2023-02-02,15,Thu,Feb
2023-02-03,9,Fri,Feb
2023-02-04,12,Sat,Feb
2023-02-05,13,Sun,Feb
2023-02-06,9,Mon,Feb
2023-02-07,7,Tue,Feb
2023-02-08,11,Wed,Feb
2023-02-09,10,Thu,Feb
2023-02-10,11,Fri,Feb
2023-02-11,17,Sat,Feb
2023-02-12,16,Sun,Feb
2023-02-13,14,Mon,Feb
2023-02-14,8,Tue,Feb
2023-02-15,16,Wed,Feb
2023-02-16,9,Thu,Feb
2023-02-17,8,Fri,Feb
2023-02-18,14,Sat,Feb
2023-02-19,10,Sun,Feb
2023-02-20,12,Mon,Feb
2023-02-21,10,Tue,Feb
2023-02-22,14,Wed,Feb
2023-02-23,9,Thu,Feb
2023-02-24,8,Fri,Feb
2023-02-25,12,Sat,Feb
2023-02-26,15,Sun,Feb
2023-02-27,14,Mon,Feb
2023-02-28,4,Tue,Feb
2023-03-01,9,Wed,Mar
2023-03-02,12,Thu,Mar
2023-03-03,10,Fri,Mar
2023-03-04,8,Sat,Mar
2023-03-05,7,Sun,Mar
2023-03-06,13,Mon,Mar
2023-03-07,7,Tue,Mar
2023-03-08,10,Wed,Mar
2023-03-09,10,Thu,Mar
2023-03-10,11,Fri,Mar
2023-03-11,10,Sat,Mar
2023-03-12,11,Sun,Mar
2023-03-13,8,Mon,Mar
2023-03-14,7,Tue,Mar
2023-03-15,10,Wed,Mar
2023-03-16,2,Thu,Mar
