year,budget_type,city_abc,expense_category,division_board,consultants_name,description_of_the_work,expenditure
2022,Capital,City Manager,Information Technology,Office of the Chief Information Security Officer (CISO),Complytec Inc,To provide consultation to the City to develop the implementation plan to deploy a vulnerability management solution for the City's critical infrastructure.,3714.24
2022,Capital,Corporate Services,Technical,Corporate Real Estate Management,Revay and Associates Limited,"To provide consulting services relating to project familiarization, schedule review, and development of claim avoidance/mitigation strategy. To provide a claim review report and settlement negotiations as a result of the contractor claiming construction progress delays.",12643.68
2022,Capital,Corporate Services,Technical,Corporate Real Estate Management,Bethune Puttock Consulting Inc,To provide consulting services to the ModernTO Workplace Modernization Program in relation to developing a scope of work (SOP) as well as release and award request for proposal (RFP) for the multi-year ModernTO Workplace Modernization Program (WMP).,241076.56
2022,Capital,Corporate Services,Technical,Corporate Real Estate Management,CBCI Telecom,"To provide speciality services to the Corporate Security team to develop the project scope of work for security equipment at the Union Station Security Control Centre.

Services include conducting a detailed physical site assessment, and providing product specifications, drawings, and recommendations based on the current physical environment and existing equipment.",763.2
2022,Capital,Corporate Services,Technical,Corporate Real Estate Management,Deloitte LLP,"To provide consulting services for the development of the City of Toronto's Workplace Optimization Plan. This will facilitate the transformation of the City's office portfolio into efficient, modern, financial sustainability, and talent attraction/retention.",81283.62
2022,Capital,Corporate Services,Technical,Corporate Real Estate Management,Stephenson Engineering Ltd.,"To provide consulting services for rehabilitation of the parking stairwell which include, but not limited to the following: 
1. Waterproofing the staircase to reduce water infiltration.
2. Repair/rebuild the concrete staircases (walls, ceiling, steps, hand rails, etc.) as necessary for a safe and sound structure. Provide new slip-resistant painting/sealer to stair treads as appropriate.
3. Review and provide new, as necessary, all existing lighting, exit signage and mechanical permit for Heating, Ventilation, and Air Conditioning (HVAC) to meet applicable current Code requirements.",7937.28
2022,Capital,Corporate Services,Technical,Corporate Real Estate Management,P1 Consulting Inc,To provide advisory services on procurement considerations and provide fairness monitor services for ModernTO Workplace Modernization Program RFSQ and NRFP.,5450.47
2022,Capital,Corporate Services,Information Technology,Corporate Real Estate Management,Deloitte LLP,"To provide services to build an enterprise architecture to help the Technology Services Division (TSD) achieve the vision of enabling employee mobility and office modernization. These consulting services are required to develop an Enterprise Architecture that re-imagines the operating model of TSD, to understand the current state, identify gaps and provide a strategy for how to achieve the new vision.",44756.08
2022,Capital,Corporate Services,Management / Research & Development,Corporate Real Estate Management,Deloitte LLP,"To provide the Corporate Real Estate Management Division and CreateTO with options and considerations of a future state service delivery model and associated implementation roadmap in alignment with the goals of the City-Wide Real Estate transformation, as articulated in item EX25.9 (2017).",278051.06
2022,Capital,Corporate Services,Creative Communications,Corporate Real Estate Management,What El'S Creative,"To provide wayfinding & signage design consulting services, signage application guidance for interior design, peer review and consulting services of proposed layouts and design for Workplace Modernization Standards, in compliance with Canadian Institute of Planners (CIP) and Toronto Accessibility Design Guidelines (TADG).",2900.16
2022,Capital,Corporate Services,Management / Research & Development,Customer Experience (311),Deloitte LLP,To provide recommendations to enhance and refresh the City’s approved customer experience operating model and add additional detail to the approved functional model to centralize and integrate activities.,305280
2022,Capital,Corporate Services,Legal,Fleet Services,Deeth Williams Wall LLP,To provide services to review the agreement and documents between the City and Siemens on EV Chargers which is related to the Zero Emission Vehicle (ZEV) Program.,20045.45
2022,Capital,Corporate Services,Legal,Fleet Services,Deeth Williams Wall LLP,To provide services to review the agreement and documents between the City and Siemens on EV Chargers which is related to the Zero Emission Vehicle (ZEV) Program.,35420.11
2022,Capital,Corporate Services,Legal,Fleet Services,Deeth Williams Wall LLP,To provide services to review the agreement and documents between the City and Siemens on EV Chargers which is related to the Zero Emission Vehicle (ZEV) Program.,20175.189999999999
2022,Capital,Corporate Services,Legal,Fleet Services,Deeth Williams Wall LLP,To provide services to review the agreement and documents between the City and Siemens on EV Chargers which is related to the Zero Emission Vehicle (ZEV) Program.,15569.28
2022,Capital,Corporate Services,Legal,Fleet Services,Deeth Williams Wall LLP,To provide services to review the agreement and documents between the City and Siemens on EV Chargers which is related to the Zero Emission Vehicle (ZEV) Program.,12650.04
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,Robinson Global Management Inc.,"To provide consulting services, including the review of evaluation materials and advising on fairness to PMMD. In addition, services include to prepare a fairness evaluation presentation, attend evaluator training session and present, attend Technical Evaluation consensus meetings and provide fairness comments where applicable, and review technical consensus documents, pricing evaluation and final compiled results.",-2291.13
2022,Capital,Finance and Treasury Services,Information Technology,Office of the Controller,Calian Limited,"To provide technical design services for the Financial Transformation Project, including assisting with the assessment of business functions currently performed outside of SAP and providing recommendations on integration/migration to the S4/HANA suite and SAP Business Technology Platform. In addition, the consultant will provide S/4HANA architecture expertise and support on solution and integration implementation tasks aligned with SAP best practices, provide expert advice and support to the City FSTP Technical Portfolio Manager and FSTP Project Team on technical implementation planning and delivery,",277536.55
